id_uf;codigo_ibge;estado;bandeira;bandeira_content_type
1;37211;Alameda solution Pizza;../fake-data/blob/hipster.png;image/png
2;79964;Saúde;../fake-data/blob/hipster.png;image/png
3;33129;Metal auxiliary Chief;../fake-data/blob/hipster.png;image/png
4;31502;Paraná amarelo Lustroso;../fake-data/blob/hipster.png;image/png
5;62859;Integrated Cordoba;../fake-data/blob/hipster.png;image/png
6;12845;Human;../fake-data/blob/hipster.png;image/png
7;59066;compressing Congelado Avon;../fake-data/blob/hipster.png;image/png
8;37798;back-end clear-thinking cohesive;../fake-data/blob/hipster.png;image/png
9;16711;International;../fake-data/blob/hipster.png;image/png
10;39835;Eletrônicos;../fake-data/blob/hipster.png;image/png
